#,Title,Venue_expected,drop_reason,drop_category,recovery_action
7,Distortion in Perceived Size and Body-Based Scaling in Virtual Environments,Proc. 8th Augmented Human International Conference (AH),Venue名 'Proceedings of the 8th Augmented Human International Conference' が CORE/SJR いずれにも未照合,unmatched,check alias/normalization; if truly unlisted -> snowballing
8,The influence of eye height and avatars on egocentric distance estimates in immersive virtual environments,Proc. ACM SIGGRAPH Symposium on Applied Perception (SAP) 67-74,CORE Rank 'B' (< A) のため除外 (venue: 'Proceedings of the ACM SIGGRAPH Symposium on Applied Perception in Graphics and Visualization' → 照合先: 'ACM Symposium on Applied Perception'),below_rank,keep excluded (quality criterion); recover cited-by via snowballing
10,Dwarf or Giant: The Influence of Interpupillary Distance and Eye Height on Size Perception in Virtual Environments,Proc. ICAT-EGVE 2017 153-160,"CORE Rank 'C' (< A) のため除外 (venue: 'International Conference on Artificial Reality and Telexistence and Eurographics Symposium on Virtual Environments, ICAT-EGVE 2017' → 照合先: 'International Conference on Artificial Reality and Telexistance & Eurographics Symposium on Virtual Environments')",below_rank,keep excluded (quality criterion); recover cited-by via snowballing
13,Does Scaling Player Size Skew One's Ability to Correctly Evaluate Object Sizes in a Virtual Environment?,Proc. MIG 2020 (13th ACM SIGGRAPH Conf. on Motion Interaction and Games),"CORE Rank 'C' (< A) のため除外 (venue: 'Motion, Interaction and Games' → 照合先: 'ACM SIGGRAPH Conference on Motion Interaction and Games')",below_rank,keep excluded (quality criterion); recover cited-by via snowballing
14,Gulliver's virtual travels: active embodiment in extreme body sizes for modulating our body representations,Cognitive Processing 21 337-350,SJR 'Q2' のため除外 (venue: 'Cognitive Processing' → 照合先: 'Cognitive Processing'),criterion,keep excluded; report in Threats to Validity
