seed_id,seed_title,direction,found_title,found_doi,found_year,found_venue,in_db_already,venue_rank_note,ref_source,picos_decision,reason
3,The Sense of Embodiment in Virtual Reality,backward,,10.1098/rspb.2003.2364,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1523/jneurosci.0745-06.2006,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1371/journal.pone.0006488,,,Y,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1016/s0166-2236(97)01136-3,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1016/s1364-6613(02)01907-1,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1093/brain/awh040,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1016/j.tics.2008.10.003,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1038/35784,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1016/j.concog.2007.01.001,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1162/jocn.2006.18.6.898,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1016/j.concog.2008.03.004,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1007/s11097-009-9121-y,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1016/j.concog.2010.09.004,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1068/p5921,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1126/science.1142175,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1126/science.1097011,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1073/pnas.0610011104,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1176/appi.ajp.158.3.454,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1016/s1364-6613(99)01417-5,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1016/j.neubiorev.2007.07.001,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1016/s1364-6613(03)00032-9,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1371/journal.pone.0009416,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1007/s12369-008-0002-2,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1016/j.neures.2009.08.005,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1162/pres.15.4.455,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1162/jocn.2009.21095,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1016/j.bandc.2008.05.001,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1111/j.1468-2885.2004.tb00302.x,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1016/j.concog.2008.11.003,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1515/revneuro.2006.17.6.643,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1126/science.1143439,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1016/j.cognition.2007.12.004,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1016/j.actpsy.2009.02.003,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1016/j.neucli.2007.12.006,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1145/566654.566630,,,Y,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1016/s0079-6123(07)68018-2,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1016/j.cortex.2008.09.004,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1073/pnas.0803768105,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1007/s00221-009-2104-y,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1111/j.1467-9450.1963.tb01326.x,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1371/journal.pone.0016128,,,Y,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1016/s0920-9964(03)00057-4,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1371/journal.pone.0003832,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.3389/fpsyg.2011.00035,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1162/jocn.2008.20022,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1371/journal.pone.0021659,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1371/journal.pone.0010381,,,Y,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1016/j.cognition.2004.04.003,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1016/j.cub.2006.07.048,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1371/journal.pone.0006185,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1098/rstb.2009.0138,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.3389/neuro.09.006.2008,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.3389/neuro.01.029.2009,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1145/1778765.1778829,,,Y,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1371/journal.pone.0010564,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1371/journal.pone.0004040,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1016/j.neuropsychologia.2009.09.034,,,N,,Crossref,,
3,The Sense of Embodiment in Virtual Reality,backward,,10.1007/s00221-009-2039-3,,,N,,Crossref,,
