db,records,keys_in_merged,with_doi,date_added_breakdown
acm,7997,7997,7997,"2026-05-15: 7,997"
ieee,1276,1276,1264,"2025-12-25: 1,276"
PubMed,781,781,750,2026-05-15: 781
Scopus,4331,4331,3972,"2026-05-15: 4,331"
