normalized_key,original_entries,ranks,key_kinds,affected_records_in_our_data,data_venue_examples,current_match_target,priority_flag,rank_conflict
applied computational mathematics,[SJR:norm_title] Applied and Computational Mathematics | [SJR:norm_title] International Journal of Applied and Computational Mathematics,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] International Journal of Applied and Computational Mathematics,,Y
applied computational mechanics,[SJR:norm_title] Journal of Applied and Computational Mechanics | [SJR:norm_title] Applied and Computational Mechanics,SJR Q2 | SJR Q4,norm_title,0,,[SJR Q4] Applied and Computational Mechanics,,
applied econometrics,[SJR:norm_title] Journal of Applied Econometrics | [SJR:norm_title] Applied Econometrics,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] Applied Econometrics,,Y
applied economics,[SJR:norm_title] Applied Economics | [SJR:norm_title] Journal of Applied Economics,SJR Q2 | SJR Q1,norm_title,0,,[SJR Q1] Journal of Applied Economics,,Y
applied geophysics,[SJR:norm_title] Journal of Applied Geophysics | [SJR:norm_title] Applied Geophysics,SJR Q2 | SJR Q3,norm_title,0,,[SJR Q3] Applied Geophysics,,
applied linguistics,[SJR:norm_title] Applied Linguistics | [SJR:norm_title] International Journal of Applied Linguistics,SJR Q1 | SJR Q1,norm_title,0,,[SJR Q1] International Journal of Applied Linguistics,,
applied mathematics,[SJR:norm_title] Journal of Applied Mathematics | [SJR:norm_title] Applied Mathematics | [SJR:norm_title] International Journal of Applied Mathematics (discontinued),SJR Q3 | SJR Q3 | SJR -,norm_title,0,,[SJR -] International Journal of Applied Mathematics (discontinued),,
applied mathematics mechanics,[SJR:norm_title] Applied Mathematics and Mechanics (English Edition) | [SJR:norm_title] Applied Mathematics and Mechanics,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Applied Mathematics and Mechanics,,Y
applied mechanics,[SJR:norm_title] Journal of Applied Mechanics | [SJR:norm_title] International Journal of Applied Mechanics | [SJR:norm_title] Applied Mechanics | [SJR:norm_title] International Applied Mechanics,SJR Q2 | SJR Q2 | SJR Q2 | SJR Q3,norm_title,0,,[SJR Q3] International Applied Mechanics,,
applied microbiology,[SJR:norm_title] Journal of Applied Microbiology | [SJR:norm_title] Applied Microbiology (Switzerland),SJR Q2 | SJR Q2,norm_title,0,,[SJR Q2] Applied Microbiology (Switzerland),,
applied optics,[SJR:norm_title] Applied Optics | [SJR:norm_title] Journal of Applied Optics,SJR Q2 | SJR Q4,norm_title,0,,[SJR Q4] Journal of Applied Optics,,
applied organometallic chemistry,[SJR:norm_title] Applied Organometallic Chemistry | [SJR:norm_title] Journal of Applied Organometallic Chemistry,SJR Q2 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Applied Organometallic Chemistry,,
applied philosophy,[SJR:norm_title] Journal of Applied Philosophy | [SJR:norm_title] International Journal of Applied Philosophy,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] International Journal of Applied Philosophy,,Y
applied phycology,[SJR:norm_title] Journal of Applied Phycology | [SJR:norm_title] Applied Phycology,SJR Q2 | SJR Q2,norm_title,0,,[SJR Q2] Applied Phycology,,
applied physics,[SJR:norm_title] Journal of Applied Physics | [SJR:norm_title] Applied Physics,SJR Q2 | SJR Q4,norm_title,0,,[SJR Q4] Applied Physics,,
applied psychology,[SJR:norm_title] Journal of Applied Psychology | [SJR:norm_title] Applied Psychology,SJR Q1 | SJR Q1,norm_title,0,,[SJR Q1] Applied Psychology,,
applied science engineering,[SJR:norm_title] Journal of Applied Science and Engineering | [SJR:norm_title] International Journal of Applied Science and Engineering,SJR Q3 | SJR Q3,norm_title,0,,[SJR Q3] International Journal of Applied Science and Engineering,,
applied spectroscopy,[SJR:norm_title] Applied Spectroscopy | [SJR:norm_title] Journal of Applied Spectroscopy,SJR Q2 | SJR Q4,norm_title,0,,[SJR Q4] Journal of Applied Spectroscopy,,
aquaculture,[SJR:norm_title] Aquaculture | [SJR:norm_title] Aquaculture International,SJR Q1 | SJR Q1,norm_title,0,,[SJR Q1] Aquaculture International,,
aquatic biology,[SJR:norm_title] Aquatic Biology | [SJR:norm_title] International Journal of Aquatic Biology,SJR Q4 | SJR Q4,norm_title,0,,[SJR Q4] International Journal of Aquatic Biology,,
aquatic research,[SJR:norm_title] International Aquatic Research | [SJR:norm_title] Aquatic Research,SJR Q2 | SJR Q4,norm_title,0,,[SJR Q4] Aquatic Research,,
arachnology,[SJR:norm_title] Arachnology | [SJR:norm_title] Journal of Arachnology,SJR Q2 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Arachnology,,
arbitration,[SJR:norm_title] Arbitration International | [SJR:norm_title] Journal of International Arbitration | [SJR:norm_title] Arbitration,SJR Q1 | SJR Q2 | SJR Q2,norm_title,0,,[SJR Q2] Arbitration,,Y
architectural history,[SJR:norm_title] Journal of Architectural History | [SJR:norm_title] Architectural History,SJR Q4 | SJR Q3,norm_title,0,,[SJR Q3] Architectural History,,
architecture,[SJR:norm_title] Architecture | [SJR:norm_title] Journal of Architecture,SJR Q1 | SJR Q1,norm_title,0,,[SJR Q1] Journal of Architecture,,
argumentation context,[SJR:norm_title] Journal of Argumentation in Context | [SJR:norm_title] Argumentation in Context,SJR Q2 | SJR Q3,norm_title,0,,[SJR Q3] Argumentation in Context,,
ars,[SJR:norm_title] ARS (Bratislava) | [SJR:norm_title] Ars (Sao Paulo),SJR Q4 | SJR Q4,norm_title,0,,[SJR Q4] Ars (Sao Paulo),,
arterial hypertension,[SJR:norm_title] Arterial Hypertension (Poland) | [SJR:norm_title] Arterial Hypertension (Russian Federation),SJR Q3 | SJR Q4,norm_title,0,,[SJR Q4] Arterial Hypertension (Russian Federation),,
artificial intelligence,[CORE:norm_title] International Conference on Artificial Intelligence | [SJR:norm_title] Artificial Intelligence | [SJR:norm_title] International Journal of Artificial Intelligence,CORE National: USA | SJR Q1 | SJR Q4,norm_title,0,,[CORE National: USA] International Conference on Artificial Intelligence,,Y
artificial intelligence law,[CORE:norm_title] International Conference on Artificial Intelligence and Law | [SJR:norm_title] Artificial Intelligence and Law,CORE C | SJR Q1,norm_title,0,,[CORE C] International Conference on Artificial Intelligence and Law,,Y
artificial intelligence medicine,[CORE:norm_title] International Conference on Artificial Intelligence in Medicine | [SJR:norm_title] Artificial Intelligence in Medicine,CORE B | SJR Q1,norm_title,0,,[CORE B] International Conference on Artificial Intelligence in Medicine,,Y
artificial life robotics,[CORE:norm_title] International Symposium on Artificial Life and Robotics | [SJR:norm_title] Artificial Life and Robotics | [SJR:norm_title] Proceedings of International Conference on Artificial Life and Robotics,CORE C | SJR Q3 | SJR -,norm_title,0,,[CORE C] International Symposium on Artificial Life and Robotics,,
asian affairs,[SJR:norm_title] Asian Affairs | [SJR:norm_title] Asian Affairs (United Kingdom),SJR Q2 | SJR Q3,norm_title,0,,[SJR Q3] Asian Affairs (United Kingdom),,
asian african studies,[SJR:norm_title] Journal of Asian and African Studies | [SJR:norm_title] Asian and African Studies,SJR Q2 | SJR Q4,norm_title,0,,[SJR Q4] Asian and African Studies,,
asian philosophy,[SJR:norm_title] Asian Journal of Philosophy | [SJR:norm_title] Asian Philosophy,SJR Q1 | SJR Q1,norm_title,0,,[SJR Q1] Asian Philosophy,,
asian studies,[SJR:norm_title] Asian Studies | [SJR:norm_title] Journal of Asian Studies | [SJR:norm_title] International Journal of Asian Studies,SJR Q1 | SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] International Journal of Asian Studies,,Y
asian studies review,[SJR:norm_title] Asian Studies Review | [SJR:norm_title] Asian International Studies Review,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Asian International Studies Review,,Y
association for information science technology,[SJR:norm_title] Journal of the Association for Information Science and Technology | [SJR:norm_title] Proceedings of the Association for Information Science and Technology,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Proceedings of the Association for Information Science and Technology,,Y
astrobiology,[SJR:norm_title] Astrobiology | [SJR:norm_title] International Journal of Astrobiology,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] International Journal of Astrobiology,,Y
auditing,[SJR:norm_title] Auditing | [SJR:norm_title] International Journal of Auditing,SJR Q1 | SJR Q1,norm_title,0,,[SJR Q1] International Journal of Auditing,,
australasian language technology,[CORE:norm_title] Australasian Language Technology Workshop | [SJR:norm_title] Proceedings of the Australasian Language Technology Workshop,CORE Australasian C | SJR -,norm_title,0,,[CORE Australasian C] Australasian Language Technology Workshop,,
austrian studies,[SJR:norm_title] Journal of Austrian Studies | [SJR:norm_title] Austrian Studies,SJR Q3 | SJR Q4,norm_title,0,,[SJR Q4] Austrian Studies,,
autoimmunity,[SJR:norm_title] Journal of Autoimmunity | [SJR:norm_title] Autoimmunity,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Autoimmunity,,Y
axon,[SJR:norm_title] Axon | [SJR:norm_title] Axon (Italy),SJR Q2 | SJR Q3,norm_title,0,,[SJR Q3] Axon (Italy),,
banking finance,[SJR:norm_title] Journal of Banking and Finance | [SJR:norm_title] International Journal of Banking and Finance,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] International Journal of Banking and Finance,,Y
big data,[SJR:norm_title] Journal of Big Data | [SJR:norm_title] Big Data,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Big Data,,Y
bilingualism,[SJR:norm_title] Bilingualism | [SJR:norm_title] International Journal of Bilingualism,SJR Q1 | SJR Q1,norm_title,0,,[SJR Q1] International Journal of Bilingualism,,
biochemistry,[SJR:norm_title] Biochemistry | [SJR:norm_title] Journal of Biochemistry | [SJR:norm_title] Biochemistry (Moscow),SJR Q2 | SJR Q2 | SJR Q2,norm_title,0,,[SJR Q2] Biochemistry (Moscow),,
biochemistry cell biology,[SJR:norm_title] International Journal of Biochemistry and Cell Biology | [SJR:norm_title] Biochemistry and Cell Biology,SJR Q2 | SJR Q2,norm_title,0,,[SJR Q2] Biochemistry and Cell Biology,,
biological chemistry,[SJR:norm_title] Journal of Biological Chemistry | [SJR:norm_title] Biological Chemistry,SJR Q1 | SJR Q1,norm_title,0,,[SJR Q1] Biological Chemistry,,
biological control,[SJR:norm_title] Biological Control | [SJR:norm_title] Journal of Biological Control,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] Journal of Biological Control,,Y
biological research,[SJR:norm_title] Biological Research | [SJR:norm_title] Journal of Biological Research (Greece) | [SJR:norm_title] Journal of Biological Research (Italy),SJR Q1 | SJR Q4 | SJR Q4,norm_title,0,,[SJR Q4] Journal of Biological Research (Italy),,Y
biomaterials,[SJR:norm_title] Biomaterials | [SJR:norm_title] International Journal of Biomaterials,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] International Journal of Biomaterials,,Y
biomedical research,[SJR:norm_title] Journal of Biomedical Research | [SJR:norm_title] Biomedical Research (Japan),SJR Q2 | SJR Q3,norm_title,0,,[SJR Q3] Biomedical Research (Japan),,
biomedicine,[SJR:norm_title] BioMedicine (Taiwan) | [SJR:norm_title] International Journal of Biomedicine,SJR Q2 | SJR Q4,norm_title,0,,[SJR Q4] International Journal of Biomedicine,,
biometrics,[SJR:norm_title] Biometrics | [SJR:norm_title] International Journal of Biometrics,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] International Journal of Biometrics,,Y
biopesticides,[SJR:norm_title] Journal of Biopesticides | [SJR:norm_title] Biopesticides International,SJR Q4 | SJR Q4,norm_title,0,,[SJR Q4] Biopesticides International,,
biophotonics,[SJR:norm_title] Journal of Biophotonics | [SJR:norm_title] Biophotonics International,SJR Q2 | SJR Q4,norm_title,0,,[SJR Q4] Biophotonics International,,
bioprinting,[SJR:norm_title] Bioprinting | [SJR:norm_title] International Journal of Bioprinting,SJR Q1 | SJR Q1,norm_title,0,,[SJR Q1] International Journal of Bioprinting,,
biostatistics,[SJR:norm_title] Biostatistics | [SJR:norm_title] International Journal of Biostatistics,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] International Journal of Biostatistics,,Y
biostatistics epidemiology,[SJR:norm_title] Biostatistics and Epidemiology | [SJR:norm_title] Journal of Biostatistics and Epidemiology,SJR Q4 | SJR Q4,norm_title,0,,[SJR Q4] Journal of Biostatistics and Epidemiology,,
biosystems engineering,[SJR:norm_title] Biosystems Engineering | [SJR:norm_title] Journal of Biosystems Engineering,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Biosystems Engineering,,Y
biotechnology,[SJR:norm_title] Journal of Biotechnology | [SJR:norm_title] International Journal of Biotechnology,SJR Q2 | SJR Q4,norm_title,0,,[SJR Q4] International Journal of Biotechnology,,
bipolar disorders,[SJR:norm_title] Bipolar Disorders | [SJR:norm_title] International Journal of Bipolar Disorders,SJR Q1 | SJR Q1,norm_title,0,,[SJR Q1] International Journal of Bipolar Disorders,,
breast cancer,[SJR:norm_title] Breast Cancer | [SJR:norm_title] Journal of Breast Cancer | [SJR:norm_title] International Journal of Breast Cancer,SJR Q1 | SJR Q2 | SJR Q3,norm_title,0,,[SJR Q3] International Journal of Breast Cancer,,Y
business analytics,[SJR:norm_title] Journal of Business Analytics | [SJR:norm_title] International Journal of Business Analytics,SJR Q2 | SJR Q4,norm_title,0,,[SJR Q4] International Journal of Business Analytics,,
business economics,[SJR:norm_title] Journal of Business Economics | [SJR:norm_title] Business Economics,SJR Q2 | SJR Q4,norm_title,0,,[SJR Q4] Business Economics,,
business management,[SJR:norm_title] Business Management | [SJR:norm_title] International Business and Management,SJR Q3 | SJR -,norm_title,0,,[SJR -] International Business and Management,,
business society,[SJR:norm_title] Business and Society | [SJR:norm_title] International Journal of Business and Society,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] International Journal of Business and Society,,Y
business systems research,[SJR:norm_title] Business Systems Research | [SJR:norm_title] International Journal of Business and Systems Research,SJR Q2 | SJR Q4,norm_title,0,,[SJR Q4] International Journal of Business and Systems Research,,
cambridge law journal,[SJR:norm_title] Cambridge Law Journal | [SJR:norm_title] Cambridge International Law Journal,SJR Q2 | SJR Q2,norm_title,0,,[SJR Q2] Cambridge International Law Journal,,
canadian studies,[SJR:norm_title] Journal of Canadian Studies | [SJR:norm_title] International Journal of Canadian Studies,SJR Q2 | SJR Q4,norm_title,0,,[SJR Q4] International Journal of Canadian Studies,,
cancer,[SJR:norm_title] Cancer | [SJR:norm_title] International Journal of Cancer | [SJR:norm_title] Journal of Cancer,SJR Q1 | SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Cancer,,Y
cancer cell,[SJR:norm_title] Cancer Cell | [SJR:norm_title] Cancer Cell International,SJR Q1 | SJR Q1,norm_title,0,,[SJR Q1] Cancer Cell International,,
cancer epidemiology,[SJR:norm_title] Cancer Epidemiology | [SJR:norm_title] Journal of Cancer Epidemiology,SJR Q2 | SJR Q3,norm_title,0,,[SJR Q3] Journal of Cancer Epidemiology,,
carbohydrate chemistry,[SJR:norm_title] Journal of Carbohydrate Chemistry | [SJR:norm_title] Carbohydrate Chemistry,SJR Q3 | SJR Q4,norm_title,0,,[SJR Q4] Carbohydrate Chemistry,,
cardiology,[SJR:norm_title] International Journal of Cardiology | [SJR:norm_title] Journal of Cardiology | [SJR:norm_title] Cardiology (Switzerland),SJR Q1 | SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Cardiology (Switzerland),,Y
cardiovascular imaging,[SJR:norm_title] Journal of Cardiovascular Imaging | [SJR:norm_title] International Journal of Cardiovascular Imaging,SJR Q2 | SJR Q2,norm_title,0,,[SJR Q2] International Journal of Cardiovascular Imaging,,
cardiovascular medicine,[SJR:norm_title] Journal of Cardiovascular Medicine | [SJR:norm_title] Cardiovascular Medicine,SJR Q2 | SJR Q4,norm_title,0,,[SJR Q4] Cardiovascular Medicine,,
career development,[SJR:norm_title] Career Development International | [SJR:norm_title] Journal of Career Development,SJR Q1 | SJR Q1,norm_title,0,,[SJR Q1] Journal of Career Development,,
cell biology,[SJR:norm_title] Journal of Cell Biology | [SJR:norm_title] Cell Biology International | [SJR:norm_title] International Journal of Cell Biology,SJR Q1 | SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] International Journal of Cell Biology,,Y
cell communication signaling,[SJR:norm_title] Cell Communication and Signaling | [SJR:norm_title] Journal of Cell Communication and Signaling,SJR Q1 | SJR Q1,norm_title,0,,[SJR Q1] Journal of Cell Communication and Signaling,,
central south university,[SJR:norm_title] Journal of Central South University | [SJR:norm_title] Journal of Central South University (Medical Sciences),SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Journal of Central South University (Medical Sciences),,Y
ceramics,[SJR:norm_title] Ceramics International | [SJR:norm_title] Ceramics | [SJR:norm_title] Journal of Ceramics,SJR Q1 | SJR Q2 | SJR Q4,norm_title,0,,[SJR Q4] Journal of Ceramics,,Y
change management,[SJR:norm_title] Journal of Change Management | [SJR:norm_title] Change Management,SJR Q2 | SJR Q4,norm_title,0,,[SJR Q4] Change Management,,
chemical petroleum engineering,[SJR:norm_title] Journal of Chemical and Petroleum Engineering | [SJR:norm_title] Chemical and Petroleum Engineering,SJR Q3 | SJR Q4,norm_title,0,,[SJR Q4] Chemical and Petroleum Engineering,,
chemical reviews,[SJR:norm_title] Chemical Reviews | [SJR:norm_title] Journal of Chemical Reviews,SJR Q1 | SJR Q1,norm_title,0,,[SJR Q1] Journal of Chemical Reviews,,
chemistry,[SJR:norm_title] Journal of Chemistry | [SJR:norm_title] Chemistry (Switzerland),SJR Q2 | SJR Q2,norm_title,0,,[SJR Q2] Chemistry (Switzerland),,
chemistry letters,[SJR:norm_title] Journal of Chemistry Letters | [SJR:norm_title] Chemistry Letters,SJR Q3 | SJR Q3,norm_title,0,,[SJR Q3] Chemistry Letters,,
chemotherapy,[SJR:norm_title] Journal of Chemotherapy | [SJR:norm_title] Chemotherapy,SJR Q3 | SJR Q3,norm_title,0,,[SJR Q3] Chemotherapy,,
china studies,[SJR:norm_title] International Journal of China Studies | [SJR:norm_title] China Studies,SJR Q2 | SJR Q4,norm_title,0,,[SJR Q4] China Studies,,
chinese clinical oncology,[SJR:norm_title] Chinese Clinical Oncology | [SJR:norm_title] Chinese Journal of Clinical Oncology,SJR Q2 | SJR Q4,norm_title,0,,[SJR Q4] Chinese Journal of Clinical Oncology,,
chinese linguistics,[SJR:norm_title] International Journal of Chinese Linguistics | [SJR:norm_title] Journal of Chinese Linguistics,SJR Q3 | SJR Q3,norm_title,0,,[SJR Q3] Journal of Chinese Linguistics,,
chinese medicine,[SJR:norm_title] Chinese Medicine (United Kingdom) | [SJR:norm_title] Journal of Chinese Medicine,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] Journal of Chinese Medicine,,Y
chinese overseas,[SJR:norm_title] Journal of Chinese Overseas | [SJR:norm_title] Chinese Overseas,SJR Q2 | SJR Q3,norm_title,0,,[SJR Q3] Chinese Overseas,,
chinese sociology,[SJR:norm_title] Journal of Chinese Sociology | [SJR:norm_title] Chinese Journal of Sociology,SJR Q1 | SJR Q1,norm_title,0,,[SJR Q1] Chinese Journal of Sociology,,
chirurgia,[SJR:norm_title] Chirurgia (Romania) | [SJR:norm_title] Chirurgia (Turin),SJR Q3 | SJR Q4,norm_title,0,,[SJR Q4] Chirurgia (Turin),,
cis,[CORE:acronym] IEEE International Conference on Cybernetics and Intelligent Systems | [CORE:acronym] International Conference on Computational Intelligence and Security,CORE C | CORE National: China,acronym,0,,[CORE National: China] International Conference on Computational Intelligence and Security,,
cisis,"[CORE:acronym] Computational Intelligence in Security for Information Systems | [CORE:acronym] International Conference on Complex, Intelligent and Software Intensive Systems",CORE National: Spain | CORE C,acronym,0,,"[CORE C] International Conference on Complex, Intelligent and Software Intensive Systems",,
civil engineering,[SJR:norm_title] International Journal of Civil Engineering | [SJR:norm_title] Civil Engineering,SJR Q2 | SJR Q4,norm_title,0,,[SJR Q4] Civil Engineering,,
climate,[SJR:norm_title] Journal of Climate | [SJR:norm_title] Climate,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Climate,,Y
climate change research,[SJR:norm_title] Climate Change Research | [SJR:norm_title] Journal of Climate Change Research,SJR Q2 | SJR Q3,norm_title,0,,[SJR Q3] Journal of Climate Change Research,,
clinical cardiology,[SJR:norm_title] Clinical Cardiology | [SJR:norm_title] Journal of Clinical Cardiology,SJR Q2 | SJR Q4,norm_title,0,,[SJR Q4] Journal of Clinical Cardiology,,
clinical dentistry,[SJR:norm_title] Clinical Dentistry (Russia) | [SJR:norm_title] International Journal of Clinical Dentistry,SJR Q4 | SJR Q4,norm_title,0,,[SJR Q4] International Journal of Clinical Dentistry,,
clinical epidemiology,[SJR:norm_title] Journal of Clinical Epidemiology | [SJR:norm_title] Clinical Epidemiology,SJR Q1 | SJR Q1,norm_title,0,,[SJR Q1] Clinical Epidemiology,,
clinical ethics,[SJR:norm_title] Journal of Clinical Ethics | [SJR:norm_title] Clinical Ethics,SJR Q3 | SJR Q1,norm_title,0,,[SJR Q1] Clinical Ethics,,Y
clinical experimental hepatology,[SJR:norm_title] Journal of Clinical and Experimental Hepatology | [SJR:norm_title] Clinical and Experimental Hepatology,SJR Q2 | SJR Q3,norm_title,0,,[SJR Q3] Clinical and Experimental Hepatology,,
clinical gastroenterology,[SJR:norm_title] Journal of Clinical Gastroenterology | [SJR:norm_title] Clinical Journal of Gastroenterology,SJR Q2 | SJR Q3,norm_title,0,,[SJR Q3] Clinical Journal of Gastroenterology,,
clinical hematology,[SJR:norm_title] Clinical Hematology International | [SJR:norm_title] Journal of Clinical Hematology,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] Journal of Clinical Hematology,,Y
clinical hypertension,[SJR:norm_title] Clinical Hypertension | [SJR:norm_title] Journal of Clinical Hypertension,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Clinical Hypertension,,Y
clinical immunology,[SJR:norm_title] Journal of Clinical Immunology | [SJR:norm_title] Clinical Immunology,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Clinical Immunology,,Y
clinical medicine research,[SJR:norm_title] Journal of Clinical Medicine Research | [SJR:norm_title] Clinical Medicine and Research,SJR Q2 | SJR Q2,norm_title,0,,[SJR Q2] Clinical Medicine and Research,,
clinical neurology,[SJR:norm_title] Journal of Clinical Neurology (Korea) | [SJR:norm_title] Clinical Neurology,SJR Q2 | SJR Q4,norm_title,0,,[SJR Q4] Clinical Neurology,,
clinical obstetrics gynecology,[SJR:norm_title] Clinical Obstetrics and Gynecology | [SJR:norm_title] Journal of Clinical Obstetrics and Gynecology,SJR Q3 | SJR Q4,norm_title,0,,[SJR Q4] Journal of Clinical Obstetrics and Gynecology,,
clinical oncology,[SJR:norm_title] Journal of Clinical Oncology | [SJR:norm_title] International Journal of Clinical Oncology | [SJR:norm_title] Clinical Oncology,SJR Q1 | SJR Q1 | SJR Q1,norm_title,0,,[SJR Q1] Clinical Oncology,,
clinical pediatric dentistry,[SJR:norm_title] Journal of Clinical Pediatric Dentistry | [SJR:norm_title] International Journal of Clinical Pediatric Dentistry,SJR Q2 | SJR Q2,norm_title,0,,[SJR Q2] International Journal of Clinical Pediatric Dentistry,,
clinical pharmacology therapeutics,[SJR:norm_title] Clinical Pharmacology and Therapeutics | [SJR:norm_title] International Journal of Clinical Pharmacology and Therapeutics,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] International Journal of Clinical Pharmacology and Therapeutics,,Y
clinical psychopharmacology,[SJR:norm_title] International Clinical Psychopharmacology | [SJR:norm_title] Journal of Clinical Psychopharmacology,SJR Q2 | SJR Q3,norm_title,0,,[SJR Q3] Journal of Clinical Psychopharmacology,,
clinical rheumatology,[SJR:norm_title] Clinical Rheumatology | [SJR:norm_title] Journal of Clinical Rheumatology,SJR Q2 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Clinical Rheumatology,,
clinical translational science,[SJR:norm_title] Clinical and Translational Science | [SJR:norm_title] Journal of Clinical and Translational Science,SJR Q1 | SJR Q1,norm_title,0,,[SJR Q1] Journal of Clinical and Translational Science,,
cloud computing,[SJR:norm_title] Journal of Cloud Computing | [SJR:norm_title] International Journal of Cloud Computing,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] International Journal of Cloud Computing,,Y
cognitive science,[SJR:norm_title] Cognitive Science | [SJR:norm_title] Journal of Cognitive Science,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Journal of Cognitive Science,,Y
coloproctology,[SJR:norm_title] Journal of Coloproctology | [SJR:norm_title] Coloproctology,SJR Q4 | SJR Q4,norm_title,0,,[SJR Q4] Coloproctology,,
colorectal disease,[SJR:norm_title] Colorectal Disease | [SJR:norm_title] International Journal of Colorectal Disease,SJR Q2 | SJR Q2,norm_title,0,,[SJR Q2] International Journal of Colorectal Disease,,
combinatorics,[SJR:norm_title] Journal of Combinatorics | [SJR:norm_title] Transactions on Combinatorics,SJR Q2 | SJR Q3,norm_title,0,,[SJR Q3] Transactions on Combinatorics,,
comma,[CORE:acronym] International Conference on Computational Models of Argument | [SJR:norm_title] Comma,CORE C | SJR Q3,acronym | norm_title,0,,[CORE C] International Conference on Computational Models of Argument,,
communication,[SJR:norm_title] Journal of Communication | [SJR:norm_title] International Journal of Communication | [SJR:norm_title] Journal of International Communication,SJR Q1 | SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Journal of International Communication,,Y
communication management,[SJR:norm_title] Journal of Communication Management | [SJR:norm_title] Communication and Management,SJR Q1 | SJR Q4,norm_title,0,,[SJR Q4] Communication and Management,,Y
communications,[SJR:norm_title] Communications | [SJR:norm_title] Journal of Communications,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Journal of Communications,,Y
comparative law review,[SJR:norm_title] Comparative Law Review | [SJR:norm_title] International and Comparative Law Review,SJR Q4 | SJR Q4,norm_title,0,,[SJR Q4] International and Comparative Law Review,,
comparative politics,[SJR:norm_title] Comparative Politics | [SJR:norm_title] Journal of Comparative Politics,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Journal of Comparative Politics,,Y
comparative psychology,[SJR:norm_title] Journal of Comparative Psychology | [SJR:norm_title] International Journal of Comparative Psychology,SJR Q2 | SJR Q3,norm_title,0,,[SJR Q3] International Journal of Comparative Psychology,,
comparative sociology,[SJR:norm_title] International Journal of Comparative Sociology | [SJR:norm_title] Comparative Sociology,SJR Q1 | SJR Q3,norm_title,0,,[SJR Q3] Comparative Sociology,,Y
complexity,[SJR:norm_title] Journal of Complexity | [SJR:norm_title] Complexity,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Complexity,,Y
computational applied mathematics,[SJR:norm_title] Journal of Computational and Applied Mathematics | [SJR:norm_title] Computational and Applied Mathematics,SJR Q1 | SJR Q2,norm_title,0,,[SJR Q2] Computational and Applied Mathematics,,Y
computational geometry,[CORE:norm_title] International Symposium on Computational Geometry | [SJR:norm_title] Journal of Computational Geometry,CORE A* | SJR Q3,norm_title,0,,[CORE A*] International Symposium on Computational Geometry,,Y
computational linguistics,[CORE:norm_title] International Conference on Computational Linguistics | [SJR:norm_title] Computational Linguistics,CORE B | SJR Q1,norm_title,0,,[CORE B] International Conference on Computational Linguistics,,Y
computational science,[CORE:norm_title] International Conference on Computational Science | [SJR:norm_title] Journal of Computational Science,CORE Multiconference | SJR Q1,norm_title,0,,[CORE Multiconference] International Conference on Computational Science,,Y
computer networks communications,[SJR:norm_title] Journal of Computer Networks and Communications | [SJR:norm_title] International Journal of Computer Networks and Communications,SJR Q2 | SJR Q3,norm_title,0,,[SJR Q3] International Journal of Computer Networks and Communications,,
computer science,[SJR:norm_title] Computer Science | [SJR:norm_title] Journal of Computer Science | [SJR:norm_title] Computer Science (China),SJR Q3 | SJR Q4 | SJR Q4,norm_title,0,,[SJR Q4] Computer Science (China),,
