raw_venue,matched_entry,source,rank,match_stage,similarity,record_count,decision,priority,orig_string_sim,alt_candidate
Proceedings of the 2024 4th International Symposium on Big Data and Artificial Intelligence,International Joint Conference on Artificial Intelligence,CORE,A*,fuzzy,0.852,1,INCLUDED,P1,0.581,SGAI International Conference on Artificial Intelligence [CORE National: UK] sim=0.83 (除外側)
Proceedings of the 12th Innovations in Software Engineering Conference (formerly known as India Software Engineering Conference),Automated Software Engineering Conference,CORE,A*,fuzzy,0.833,1,INCLUDED,P1,0.414,Asia-Pacific Software Engineering Conference [CORE C] sim=0.80 (除外側)
16th Innovations in Software Engineering Conference,Automated Software Engineering Conference,CORE,A*,fuzzy,0.833,1,INCLUDED,P1,0.783,Asia-Pacific Software Engineering Conference [CORE C] sim=0.80 (除外側)
15th Innovations in Software Engineering Conference,Automated Software Engineering Conference,CORE,A*,fuzzy,0.833,1,INCLUDED,P1,0.783,Asia-Pacific Software Engineering Conference [CORE C] sim=0.80 (除外側)
Proceedings of the 1994 ACM conference on Computer supported cooperative work - CSCW '94,ACM Conference on Computer Supported Cooperative Work,CORE,A,fuzzy,0.907,1,INCLUDED,P1,0.752,International Conference on Computer Supported Cooperative Work in Design [CORE C] sim=0.83 (除外側)
Proceedings of the 46th International Symposium on Computer Architecture,ACM International Symposium on Computer Architecture,CORE,A*,fuzzy,0.913,1,INCLUDED,P1,0.806,Workshop on Computer Architecture Education [CORE National: USA] sim=0.81 (除外側)
Proceedings of the International Conference on Artificial Intelligence and its Applications,International Conference on Artificial Intelligence in Education,CORE,A,fuzzy,0.822,1,INCLUDED,P1,0.774,Artificial Intelligence Applications and Innovations [CORE National/Regional] sim=0.82 (除外側)
Proceedings of the 14th Innovations in Software Engineering Conference (formerly known as India Software Engineering Conference),Automated Software Engineering Conference,CORE,A*,fuzzy,0.833,1,INCLUDED,P1,0.414,Asia-Pacific Software Engineering Conference [CORE C] sim=0.80 (除外側)
Proceedings of the 52nd Annual International Symposium on Computer Architecture,ACM International Symposium on Computer Architecture,CORE,A*,fuzzy,0.913,1,INCLUDED,P1,0.763,Workshop on Computer Architecture Education [CORE National: USA] sim=0.81 (除外側)
Proceedings of the 2025 2nd International Conference on Artificial Intelligence and Future Education,International Conference on Artificial Intelligence in Education,CORE,A,fuzzy,0.904,1,INCLUDED,P1,0.768,International Conference on Artificial Intelligence in Medicine [CORE B] sim=0.81 (除外側)
"Proceedings of the 29th ACM International Conference on Architectural Support for Programming Languages and Operating Systems, Volume 1",Architectural Support for Programming Languages and Operating Systems,CORE,A*,fuzzy,0.909,1,INCLUDED,P1,0.676,International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS [SJR -] sim=0.89 (除外側)
Proceedings of the 2019 3rd International Conference on Innovation in Artificial Intelligence,International Joint Conference on Artificial Intelligence,CORE,A*,fuzzy,0.857,1,INCLUDED,P1,0.680,SGAI International Conference on Artificial Intelligence [CORE National: UK] sim=0.81 (除外側)
"Proceedings of the 29th ACM International Conference on Architectural Support for Programming Languages and Operating Systems, Volume 2",Architectural Support for Programming Languages and Operating Systems,CORE,A*,fuzzy,0.909,1,INCLUDED,P1,0.676,International Conference on Architectural Support for Programming Languages and Operating Systems - ASPLOS [SJR -] sim=0.89 (除外側)
2025 IEEE/CVF international conference on computer vision workshops (ICCVW),IEEE International Conference on Computer Vision,CORE,A*,fuzzy,0.909,1,INCLUDED,P1,0.780,IET Computer Vision [SJR Q2] sim=0.84 (除外側)
2023 9th international conference on virtual reality (ICVR),International Conference on Virtual Rehabilitation,CORE,Unranked,acronym,1.000,1,EXCLUDED,P1,0.789,Virtual Reality [SJR Q1] sim=1.00 (採用側)
2021 2nd asia conference on computers and communications (ACCC),IEEE Symposium on Computers and Communications,CORE,C,fuzzy,0.897,1,EXCLUDED,P1,0.642,IEEE International Conference on Computer Communications [CORE A*] sim=0.88 (採用側)
2020 european conference on networks and communications (EuCNC),The International Conference on Future Networks and Communications,CORE,Unranked,fuzzy,0.871,1,EXCLUDED,P1,0.729,European Journal of Communication [SJR Q1] sim=0.81 (採用側)
2022 international conference on applied artificial intelligence and computing (ICAAIC),International Conference on Artificial Intelligence and Soft Computing,CORE,National: Poland,fuzzy,0.835,1,EXCLUDED,P1,0.828,Applied Artificial Intelligence [SJR Q1] sim=0.86 (採用側)
2024 10th international conference on virtual reality (ICVR),International Conference on Virtual Rehabilitation,CORE,Unranked,acronym,1.000,1,EXCLUDED,P1,0.782,Virtual Reality [SJR Q1] sim=1.00 (採用側)
2024 33rd international conference on computer communications and networks (ICCCN),International Conference on Computer Communication and Networks,CORE,B,acronym,1.000,1,EXCLUDED,P1,0.869,Computer Communications [SJR Q1] sim=0.84 (採用側)
IEEE Industrial Electronics Magazine,IEEE Industrial Electronics Society,CORE,C,fuzzy,0.845,1,EXCLUDED,P1,0.845,IEEE Industrial Electronics Magazine [SJR Q1] sim=1.00 (採用側)
2023 IEEE international conference on consumer electronics (ICCE),International Conference on Computers in Education,CORE,C,acronym,1.000,1,EXCLUDED,P1,0.678,IEEE Transactions on Consumer Electronics [SJR Q1] sim=1.00 (採用側)
2021 IEEE 7th international conference on virtual reality (ICVR),International Conference on Virtual Rehabilitation,CORE,Unranked,acronym,1.000,1,EXCLUDED,P1,0.754,Virtual Reality [SJR Q1] sim=0.86 (採用側)
2022 5th international conference on information and communications technology (ICOIACT),International Conference on the Quality of Information and Communications Technology,CORE,National/Regional,fuzzy,0.902,1,EXCLUDED,P1,0.802,Information and Communications Technology Law [SJR Q1] sim=0.95 (採用側)
2013 international conference on recent trends in information technology (ICRTIT),International Conference on Frontiers of Information Technology,CORE,National: Pakistan,fuzzy,0.824,1,EXCLUDED,P1,0.792,Ethics and Information Technology [SJR Q1] sim=0.81 (採用側)
2022 12th international conference on information technology in medicine and education (ITME),ACM Information Technology Education,CORE,National: USA,fuzzy,0.831,1,EXCLUDED,P1,0.543,Journal of Information Technology in Construction [SJR Q1] sim=0.82 (採用側)
IEEE Transactions on Very Large Scale Integration (VLSI) Systems,IEEE/IFIP International Conference on Very Large Scale Integration of System-on-Chip,CORE,C,fuzzy,0.879,1,EXCLUDED,P1,0.703,IEEE Transactions on Very Large Scale Integration (VLSI) Systems [SJR Q1] sim=1.00 (採用側)
2015 IEEE 19th international conference on computer supported cooperative work in design (CSCWD),International Conference on Computer Supported Cooperative Work in Design,CORE,C,acronym,1.000,1,EXCLUDED,P1,0.864,ACM Conference on Computer Supported Cooperative Work [CORE A] sim=0.84 (採用側)
2024 IEEE international conference on consumer electronics (ICCE),International Conference on Computers in Education,CORE,C,acronym,1.000,1,EXCLUDED,P1,0.678,IEEE Transactions on Consumer Electronics [SJR Q1] sim=1.00 (採用側)
2012 21st international conference on computer communications and networks (ICCCN),International Conference on Computer Communication and Networks,CORE,B,acronym,1.000,1,EXCLUDED,P1,0.869,Computer Communications [SJR Q1] sim=0.84 (採用側)
IEEE Geoscience and Remote Sensing Magazine,IEEE International Geoscience and Remote Sensing Symposium,CORE,C,fuzzy,0.835,1,EXCLUDED,P1,0.733,IEEE Geoscience and Remote Sensing Magazine [SJR Q1] sim=1.00 (採用側)
2023 5th international conference on computer communication and the internet (ICCCI),International Conference on Computational Collective Intelligence,CORE,B,acronym,1.000,1,EXCLUDED,P1,0.658,Computer Communication Review [SJR Q1] sim=0.83 (採用側)
Neural Computing and Applications,International Workshop on Soft Computing Applications,CORE,National: Romania,fuzzy,0.821,1,EXCLUDED,P1,0.651,Neural Computing and Applications [SJR Q1] sim=1.00 (採用側)
Security and Communication Networks,International Conference on Security of Information and Networks,CORE,C,fuzzy,0.833,1,EXCLUDED,P1,0.525,Journal of Communications and Networks [SJR Q1] sim=0.81 (採用側)
World Journal of Engineering,International Conference on Cloud Engineering,CORE,B,fuzzy,0.824,1,EXCLUDED,P1,0.521,Journal of Road Engineering [SJR Q1] sim=0.85 (採用側)
Journal of Information Technology Education: Research,ACM Information Technology Education,CORE,National: USA,fuzzy,0.831,1,EXCLUDED,P1,0.764,Journal of Information Technology Education: Research [SJR Q1] sim=1.00 (採用側)
"Proceedings of the 10th International Conference on Language Resources and Evaluation, LREC 2016",Language Resources and Evaluation Conference,CORE,B,fuzzy,0.892,1,EXCLUDED,P1,0.529,Language Resources and Evaluation [SJR Q1] sim=0.92 (採用側)
IEEE Transactions on Parallel and Distributed Systems,International Conference on Parallel and Distributed Systems,CORE,B,fuzzy,0.918,1,EXCLUDED,P1,0.779,IEEE Transactions on Parallel and Distributed Systems [SJR Q1] sim=1.00 (採用側)
Journal of oral rehabilitation,International Conference on Virtual Rehabilitation,CORE,Unranked,fuzzy,0.878,1,EXCLUDED,P1,0.675,Journal of Oral Rehabilitation [SJR Q1] sim=1.00 (採用側)
Proceedings of the 2020 The 2nd World Symposium on Software Engineering,IEEE Software Engineering Workshop,CORE,C,fuzzy,0.824,1,EXCLUDED,P1,0.457,International Conference on Software Engineering [CORE A*] sim=0.87 (採用側)
Proceedings of the 20th Annual SIG Conference on Information Technology Education,ACM Information Technology Education,CORE,National: USA,fuzzy,0.917,1,EXCLUDED,P1,0.581,Journal of Information Technology Education: Research [SJR Q1] sim=0.83 (採用側)
Proceedings of the 2nd International Conference on Digital Signal Processing,International Conference on Image and Signal Processing,CORE,C,fuzzy,0.833,1,EXCLUDED,P1,0.718,IEEE Transactions on Signal Processing [SJR Q1] sim=0.81 (採用側)
Proceedings of the 2019 8th International Conference on Software and Computer Applications,International Workshop on Soft Computing Applications,CORE,National: Romania,fuzzy,0.842,1,EXCLUDED,P1,0.615,Journal of Network and Computer Applications [SJR Q1] sim=0.85 (採用側)
Proceedings of the XV International Conference on Human Computer Interaction,Indian Conference on Human-Computer Interaction,CORE,National: India,fuzzy,0.871,1,EXCLUDED,P1,0.699,AIS Transactions on Human-Computer Interaction [SJR Q1] sim=0.92 (採用側)
Proceedings of the 5th International Conference on Multimedia and Image Processing,International Workshop on Multimedia Signal Processing,CORE,C,fuzzy,0.873,1,EXCLUDED,P1,0.632,Journal of Real-Time Image Processing [SJR Q1] sim=0.83 (採用側)
XXII International Conference on Human Computer Interaction,Indian Conference on Human-Computer Interaction,CORE,National: India,fuzzy,0.906,1,EXCLUDED,P1,0.811,AIS Transactions on Human-Computer Interaction [SJR Q1] sim=0.92 (採用側)
Proceedings of the 4th International Conference on Biomedical and Intelligent Systems,International Conference on Hybrid Intelligent Systems,CORE,C,fuzzy,0.821,1,EXCLUDED,P1,0.734,Complex and Intelligent Systems [SJR Q1] sim=0.81 (採用側)
Proceedings of the 2023 7th International Conference on Digital Signal Processing,International Conference on Image and Signal Processing,CORE,C,fuzzy,0.833,1,EXCLUDED,P1,0.691,IEEE Transactions on Signal Processing [SJR Q1] sim=0.81 (採用側)
Proceedings of the 23rd International Conference on Mobile Human-Computer Interaction,Nordic Conference on Human-Computer Interaction,CORE,Regional:Scandinavia,fuzzy,0.879,1,EXCLUDED,P1,0.667,AIS Transactions on Human-Computer Interaction [SJR Q1] sim=0.89 (採用側)
Proceedings of the XIX International Conference on Human Computer Interaction,Indian Conference on Human-Computer Interaction,CORE,National: India,fuzzy,0.889,1,EXCLUDED,P1,0.694,AIS Transactions on Human-Computer Interaction [SJR Q1] sim=0.93 (採用側)
Proceedings of the 37th Australian Conference on Human-Computer Interaction,Indian Conference on Human-Computer Interaction,CORE,National: India,fuzzy,0.857,1,EXCLUDED,P1,0.754,AIS Transactions on Human-Computer Interaction [SJR Q1] sim=0.87 (採用側)
2021 10th International Conference on Software and Computer Applications,International Workshop on Soft Computing Applications,CORE,National: Romania,fuzzy,0.842,1,EXCLUDED,P1,0.704,Journal of Network and Computer Applications [SJR Q1] sim=0.85 (採用側)
Proceedings of the 2023 9th International Conference on Robotics and Artificial Intelligence,International FLINS Conference on Robotics and Artificial Intelligence (was International Fuzzy Logic and Intelligent technologies in Nuclear Science Conference),CORE,C,fuzzy,0.914,1,EXCLUDED,P1,0.506,International Joint Conference on Artificial Intelligence [CORE A*] sim=0.85 (採用側)
Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2,Pacific-Asia Conference on Knowledge Discovery and Data Mining,CORE,B,fuzzy,0.822,1,EXCLUDED,P1,0.733,ACM International Conference on Knowledge Discovery and Data Mining [CORE A*] sim=0.86 (採用側)
Proceedings of the 7th Mexican Conference on Human-Computer Interaction,Indian Conference on Human-Computer Interaction,CORE,National: India,fuzzy,0.896,1,EXCLUDED,P1,0.763,AIS Transactions on Human-Computer Interaction [SJR Q1] sim=0.88 (採用側)
2026 IEEE international conference on consumer electronics (ICCE),International Conference on Computers in Education,CORE,C,acronym,1.000,1,EXCLUDED,P1,0.678,IEEE Transactions on Consumer Electronics [SJR Q1] sim=1.00 (採用側)
Presence,Annual International Workshop on Presence,CORE,C,exact_norm,1.000,29,EXCLUDED,P2,0.327,
2017 IEEE virtual reality (VR),IEEE Conference on Virtual Reality and 3D User Interfaces,CORE,A*,acronym,1.000,8,INCLUDED,P2,0.506,
2015 IEEE virtual reality (VR),IEEE Conference on Virtual Reality and 3D User Interfaces,CORE,A*,acronym,1.000,7,INCLUDED,P2,0.506,
Visual Computer,International Symposium on Visual Computing,CORE,National: USA,fuzzy,0.839,5,EXCLUDED,P2,0.448,
Proceedings of the 18th ACM International Conference on Multimodal Interaction,International Conference on Multimodal Interaction (was International Conference on Multimodal Interfaces),CORE,B,fuzzy,0.917,5,EXCLUDED,P2,0.543,
2016 IEEE virtual reality (VR),IEEE Conference on Virtual Reality and 3D User Interfaces,CORE,A*,acronym,1.000,4,INCLUDED,P2,0.506,
Companion Proceedings of the 2020 Conference on Interactive Surfaces and Spaces,ACM International Conference on Interactive Surfaces and Spaces (was International Workshop on Horizontal Interactive Human-Computer Systems: Tabletop),CORE,Journal Published,fuzzy,0.882,4,EXCLUDED,P2,0.452,
2014 IEEE virtual reality (VR),IEEE Conference on Virtual Reality and 3D User Interfaces,CORE,A*,acronym,1.000,3,INCLUDED,P2,0.506,
2013 IEEE virtual reality (VR),IEEE Conference on Virtual Reality and 3D User Interfaces,CORE,A*,acronym,1.000,2,INCLUDED,P2,0.506,
ISS 2023 - Proceedings of the 2023 Conference on Interactive Surfaces and Spaces,ACM International Conference on Interactive Surfaces and Spaces (was International Workshop on Horizontal Interactive Human-Computer Systems: Tabletop),CORE,Journal Published,fuzzy,0.903,2,EXCLUDED,P2,0.433,
Companion Proceedings of the 2024 Conference on Interactive Surfaces and Spaces,ACM International Conference on Interactive Surfaces and Spaces (was International Workshop on Horizontal Interactive Human-Computer Systems: Tabletop),CORE,Journal Published,fuzzy,0.882,2,EXCLUDED,P2,0.452,
Companion Proceedings of the 2023 Conference on Interactive Surfaces and Spaces,ACM International Conference on Interactive Surfaces and Spaces (was International Workshop on Horizontal Interactive Human-Computer Systems: Tabletop),CORE,Journal Published,fuzzy,0.882,2,EXCLUDED,P2,0.452,
MM 2020 - Proceedings of the 28th ACM International Conference on Multimedia,ACM Multimedia,CORE,A*,fuzzy,0.903,1,INCLUDED,P2,0.311,
Proceedings of the 7th Conference on Computing Education Practice,International Computing Education Research Workshop,CORE,A,fuzzy,0.821,1,INCLUDED,P2,0.500,
2019 international conference on graphics and interaction (ICGI),Graphics Interface,CORE,B,fuzzy,0.842,1,EXCLUDED,P2,0.390,
2024 IEEE conference on games (CoG),Conference on Games (was Computational Intelligence and Games CIG),CORE,C,acronym,1.000,1,EXCLUDED,P2,0.495,
2022 IEEE conference on games (CoG),Conference on Games (was Computational Intelligence and Games CIG),CORE,C,acronym,1.000,1,EXCLUDED,P2,0.495,
2023 38th international conference on image and vision computing new zealand (IVCNZ),Image and Vision Computing Conference,CORE,Australasian C,acronym,1.000,1,EXCLUDED,P2,0.529,
2020 international electronics symposium (IES),Asia Pacific Symposium on Intelligent and Evolutionary Systems (was Australia-Japan Joint Workshop on  Intelligent and Evolutionary Systems),CORE,C,acronym,1.000,1,EXCLUDED,P2,0.215,
2016 IEEE 13th international conference on wearable and implantable body sensor networks (BSN),Body Sensor Networks,CORE,C,acronym,1.000,1,EXCLUDED,P2,0.351,
2022 international conference on graphics and interaction (ICGI),Graphics Interface,CORE,B,fuzzy,0.842,1,EXCLUDED,P2,0.390,
2017 10th international conference on human system interactions (HSI),Human System Interaction,CORE,C,acronym,1.000,1,EXCLUDED,P2,0.516,
2014 7th international conference on human system interactions (HSI),Human System Interaction,CORE,C,acronym,1.000,1,EXCLUDED,P2,0.522,
2025 IEEE conference on games (CoG),Conference on Games (was Computational Intelligence and Games CIG),CORE,C,acronym,1.000,1,EXCLUDED,P2,0.495,
"2023 asia-pacific conference on image processing, electronics and computers (IPEC)",International Symposium on Parameterized and Exact Computation (was IWPEC pre 2004),CORE,B,acronym,1.000,1,EXCLUDED,P2,0.327,
Proceedings of the 8th ACM conference on Creativity and cognition,Creativity and Cognition,CORE,B,fuzzy,0.909,1,EXCLUDED,P2,0.539,
2021 International Conference on Human-Machine Interaction,Human-Agent Interaction,CORE,B,fuzzy,0.833,1,EXCLUDED,P2,0.494,
Proceedings of the 19th ACM International Conference on Multimodal Interaction,International Conference on Multimodal Interaction (was International Conference on Multimodal Interfaces),CORE,B,fuzzy,0.917,1,EXCLUDED,P2,0.543,
2025 international conference on graphics and interaction (ICGI),Graphics Interface,CORE,B,fuzzy,0.842,1,EXCLUDED,P2,0.390,
Proceedings of the ACM symposium on Virtual reality software and technology - VRST '00,ACM Virtual Reality Software and Technology,CORE,B,fuzzy,0.907,27,EXCLUDED,P3,0.667,
Proceedings of the ACM Symposium on Virtual Reality Software and Technology - VRST '96,ACM Virtual Reality Software and Technology,CORE,B,fuzzy,0.907,25,EXCLUDED,P3,0.667,
Proceedings of the ACM symposium on Virtual reality software and technology - VRST '02,ACM Virtual Reality Software and Technology,CORE,B,fuzzy,0.907,25,EXCLUDED,P3,0.667,
Proceedings of the ACM symposium on Virtual reality software and technology - VRST '01,ACM Virtual Reality Software and Technology,CORE,B,fuzzy,0.907,23,EXCLUDED,P3,0.667,
