raw_venue,matched_entry,source,rank,match_stage,similarity,record_count,decision,priority,orig_string_sim,alt_candidate
Proceedings of the 2024 on ACM SIGSAC Conference on Computer and Communications Security,ACM Conference on Computer and Communications Security,CORE,A*,fuzzy,0.911,2,INCLUDED,P3,0.761,
Proceedings of the 2025 ACM SIGSAC Conference on Computer and Communications Security,ACM Conference on Computer and Communications Security,CORE,A*,fuzzy,0.911,2,INCLUDED,P3,0.777,
IEEE Transactions on Automation Science and Engineering,IEEE International Conference on Data Science and Engineering,CORE,National:India,fuzzy,0.844,2,EXCLUDED,P3,0.638,
"2024 IEEE 48th annual computers, software, and applications conference (COMPSAC)",International Computer Software and Applications Conference,CORE,B,acronym,1.000,2,EXCLUDED,P3,0.748,
Eye Tracking Research and Applications Symposium (ETRA),Eye Tracking Research and Applications,CORE,B,acronym,1.000,2,EXCLUDED,P3,0.817,
Computational Intelligence and Neuroscience,International Conference on Computational Intelligence and Security,CORE,National: China,fuzzy,0.838,2,EXCLUDED,P3,0.636,
"Proceedings of the ACM Symposium on Applied Perception, SAP 2014",ACM Symposium on Applied Perception,CORE,B,fuzzy,0.917,2,EXCLUDED,P3,0.707,
Companion Proceedings of the Annual Symposium on Computer-Human Interaction in Play,CHI PLAY: The Annual Symposium on Computer-Human Interaction in Play,CORE,Journal Published,fuzzy,0.864,2,EXCLUDED,P3,0.834,
Proceedings of the 28th Australian Conference on Computer-Human Interaction - OzCHI '16,Australian Computer Human Interaction Conference,CORE,Australasian B,fuzzy,0.851,2,EXCLUDED,P3,0.578,
Proceedings of the 2016 ACM International Symposium on Wearable Computers,IEEE International Symposium on Wearable Computers,CORE,Journal Published,fuzzy,0.844,2,EXCLUDED,P3,0.797,
Proceedings of the 2018 ACM International Symposium on Wearable Computers,IEEE International Symposium on Wearable Computers,CORE,Journal Published,fuzzy,0.844,2,EXCLUDED,P3,0.797,
2012 IEEE international symposium on mixed and augmented reality (ISMAR),IEEE/ACM International Symposium on Mixed and Augmented Reality,CORE,A*,acronym,1.000,1,INCLUDED,P3,0.874,
2021 58th ACM/IEEE design automation conference (DAC),Design Automation Conf,CORE,A*,acronym,1.000,1,INCLUDED,P3,0.587,
Third IEEE and ACM international symposium on mixed and augmented reality,IEEE/ACM International Symposium on Mixed and Augmented Reality,CORE,A*,fuzzy,0.914,1,INCLUDED,P3,0.912,
2014 IEEE international symposium on mixed and augmented reality (ISMAR),IEEE/ACM International Symposium on Mixed and Augmented Reality,CORE,A*,acronym,1.000,1,INCLUDED,P3,0.874,
2013 IEEE international symposium on mixed and augmented reality (ISMAR),IEEE/ACM International Symposium on Mixed and Augmented Reality,CORE,A*,acronym,1.000,1,INCLUDED,P3,0.874,
2017 eleventh international conference on sensing technology (ICST),"International Conference on Software Testing, Verification and Validation",CORE,A,acronym,1.000,1,INCLUDED,P3,0.557,
2017 IEEE international symposium on mixed and augmented reality (ISMAR),IEEE/ACM International Symposium on Mixed and Augmented Reality,CORE,A*,acronym,1.000,1,INCLUDED,P3,0.874,
MMSys 2024 - Proceedings of the 2024 ACM Multimedia Systems Conference,ACM Multimedia Systems Conference,CORE,A,fuzzy,0.917,1,INCLUDED,P3,0.641,
"MobiSys 2023 - Proceedings of the 21st Annual International Conference on Mobile Systems, Applications and Services","ACM SIGMOBILE International Conference on Mobile Systems, Applications and Services",CORE,A,fuzzy,0.872,1,INCLUDED,P3,0.758,
ASSETS 2022 - Proceedings of the 24th International ACM SIGACCESS Conference on Computers and Accessibility,International ACM SIGACCESS Conference on Computers and Accessibility,CORE,A,fuzzy,0.914,1,INCLUDED,P3,0.784,
"Adjunct Proceedings of the 2020 IEEE International Symposium on Mixed and Augmented Reality, ISMAR-Adjunct 2020",IEEE/ACM International Symposium on Mixed and Augmented Reality,CORE,A*,fuzzy,0.848,1,INCLUDED,P3,0.678,
"MobiSys 2018 - Proceedings of the 16th ACM International Conference on Mobile Systems, Applications, and Services","ACM SIGMOBILE International Conference on Mobile Systems, Applications and Services",CORE,A,fuzzy,0.837,1,INCLUDED,P3,0.765,
UIST 2016 Adjunct - Proceedings of the 29th Annual Symposium on User Interface Software and Technology,ACM Symposium on User Interface Software and Technology,CORE,A*,fuzzy,0.909,1,INCLUDED,P3,0.688,
"Proceedings of the Conference on Object-Oriented Programming Systems, Languages, and Applications, OOPSLA",ACM Conference on Object Oriented Programming Systems Languages and Applications,CORE,A,fuzzy,0.913,1,INCLUDED,P3,0.832,
Proceedings of the 19th annual conference on Computer graphics and interactive techniques,ACM SIG International Conference on Computer Graphics and Interactive Techniques,CORE,A*,fuzzy,0.909,1,INCLUDED,P3,0.781,
Proceedings of the 10th annual ACM symposium on User interface software and technology - UIST '97,ACM Symposium on User Interface Software and Technology,CORE,A*,fuzzy,0.905,1,INCLUDED,P3,0.724,
Proceedings of the 4th annual ACM symposium on User interface software and technology - UIST '91,ACM Symposium on User Interface Software and Technology,CORE,A*,fuzzy,0.905,1,INCLUDED,P3,0.728,
Proceedings of the 2005 ACM conference on Emerging network experiment and technology - CoNEXT'05,ACM International Conference on Emerging Networking Experiments and Technologies,CORE,A,fuzzy,0.840,1,INCLUDED,P3,0.682,
Proceedings of the 14th annual ACM symposium on User interface software and technology - UIST '01,ACM Symposium on User Interface Software and Technology,CORE,A*,fuzzy,0.905,1,INCLUDED,P3,0.724,
"Proceedings of the 16th ACM international conference on Modeling, analysis &amp; simulation of wireless and mobile systems","ACM/IEEE International Conference on Modelling, Analysis and Simulation of Wireless and Mobile Systems",CORE,A,fuzzy,0.918,1,INCLUDED,P3,0.839,
The 41st International ACM SIGIR Conference on Research &amp; Development in Information Retrieval,ACM International Conference on Research and Development in Information Retrieval,CORE,A*,fuzzy,0.902,1,INCLUDED,P3,0.849,
2026 IEEE/CVF winter conference on applications of computer vision (WACV),IEEE Workshop on Applications of Computer Vision,CORE,A,acronym,1.000,1,INCLUDED,P3,0.711,
2025 IEEE/CVF winter conference on applications of computer vision (WACV),IEEE Workshop on Applications of Computer Vision,CORE,A,acronym,1.000,1,INCLUDED,P3,0.711,
First international conference on advances in computer-human interaction,International Conference on Advances in Computer-Human Interactions,CORE,C,fuzzy,0.909,1,EXCLUDED,P3,0.950,
"ICASSP 2019 - 2019 IEEE international conference on acoustics, speech and signal processing (ICASSP)","IEEE International Conference on Acoustics, Speech and Signal Processing",CORE,Multiconference,acronym,1.000,1,EXCLUDED,P3,0.837,
Eighth international symposium on wearable computers,IEEE International Symposium on Wearable Computers,CORE,Journal Published,fuzzy,0.833,1,EXCLUDED,P3,0.922,
"ICASSP 2025 - 2025 IEEE international conference on acoustics, speech and signal processing (ICASSP)","IEEE International Conference on Acoustics, Speech and Signal Processing",CORE,Multiconference,acronym,1.000,1,EXCLUDED,P3,0.837,
2019 IEEE global communications conference (GLOBECOM),IEEE Global Telecommunications Conference,CORE,B,acronym,1.000,1,EXCLUDED,P3,0.787,
2025 7th international conference on intelligent sustainable systems (ICISS),International Conference on Information Systems Security,CORE,National: India,acronym,1.000,1,EXCLUDED,P3,0.652,
"7th international conference on control, automation, robotics and vision, 2002. ICARCV 2002.","International Conference on Control, Automation, Robotics and Vision",CORE,C,fuzzy,0.907,1,EXCLUDED,P3,0.850,
2019 8th international conference on affective computing and intelligent interaction (ACII),International Conference on Affective Computing and Intelligent,CORE,B,acronym,1.000,1,EXCLUDED,P3,0.818,
"2012 IEEE 14th international conference on e-Health networking, applications and services (healthcom)",IEEE international conference on ehealth networking applications and services (was International Workshop on Enterprise Networking and Computing in Health Care Industry; changed 2006),CORE,C,acronym,1.000,1,EXCLUDED,P3,0.613,
2019 international joint conference on neural networks (IJCNN),IEEE International Joint Conference on Neural Networks,CORE,B,acronym,1.000,1,EXCLUDED,P3,0.862,
2018 tenth international conference on quality of multimedia experience (QoMEX),International Conference on Quality of Multimedia Experience,CORE,B,acronym,1.000,1,EXCLUDED,P3,0.863,
2023 international joint conference on neural networks (IJCNN),IEEE International Joint Conference on Neural Networks,CORE,B,acronym,1.000,1,EXCLUDED,P3,0.862,
2018 IEEE global communications conference (GLOBECOM),IEEE Global Telecommunications Conference,CORE,B,acronym,1.000,1,EXCLUDED,P3,0.787,
2014 IEEE/ACS 11th international conference on computer systems and applications (AICCSA),ACS/IEEE International Conference on Computer Systems and Applications,CORE,C,acronym,1.000,1,EXCLUDED,P3,0.830,
19th international symposium in robot and human interactive communication,IEEE International Conference on Robot and Human Interactive Communication,CORE,B,fuzzy,0.876,1,EXCLUDED,P3,0.816,
"2023 IEEE 47th annual computers, software, and applications conference (COMPSAC)",International Computer Software and Applications Conference,CORE,B,acronym,1.000,1,EXCLUDED,P3,0.748,
2015 international conference on affective computing and intelligent interaction (ACII),International Conference on Affective Computing and Intelligent,CORE,B,acronym,1.000,1,EXCLUDED,P3,0.840,
2018 IEEE 14th international conference on automation science and engineering (CASE),IEEE International Conference on Data Science and Engineering,CORE,National:India,fuzzy,0.844,1,EXCLUDED,P3,0.814,
2023 IEEE 19th international conference on automation science and engineering (CASE),IEEE International Conference on Data Science and Engineering,CORE,National:India,fuzzy,0.844,1,EXCLUDED,P3,0.814,
GLOBECOM 2023 - 2023 IEEE global communications conference,IEEE Global Telecommunications Conference,CORE,B,fuzzy,0.851,1,EXCLUDED,P3,0.747,
SenSys 2022 - Proceedings of the 20th ACM Conference on Embedded Networked Sensor Systems,ACM Conference on Embedded Networked Sensor Systems,CORE,unranked: merged,fuzzy,0.914,1,EXCLUDED,P3,0.729,
ISWC 2023 - Proceedings of the 2023 International Symposium on Wearable Computers,IEEE International Symposium on Wearable Computers,CORE,Journal Published,fuzzy,0.870,1,EXCLUDED,P3,0.763,
"Proceedings of the 18th Conference on Computer Science and Intelligence Systems, FedCSIS 2023",CONFERENCE ON COMPUTER SCIENCE AND INTELLIGENCE SYSTEMS,CORE,C,fuzzy,0.902,1,EXCLUDED,P3,0.743,
